trackID	timepoint	centroid_row	centroid_col	value
1	74	47	7	0
2	74	101	11	0
3	74	29	23	0
4	74	451	40	0
5	74	238	45	0
6	74	396	49	0
7	74	127	67	0
8	74	370	93	0
9	74	500	99	0
10	74	424	103	0
11	74	58	117	0
12	74	354	150	0
13	74	220	152	0
14	74	413	182	0
15	74	111	208	0
16	74	281	217	0
17	74	452	217	0
18	74	316	243	0
19	74	217	251	0
20	74	63	267	0
21	74	398	274	0
22	74	473	306	0
23	74	401	317	0
24	74	125	325	0
25	74	248	337	0
26	74	309	345	0
27	74	500	354	0
28	74	358	370	0
29	74	192	383	0
30	74	408	398	0
31	74	135	401	0
32	74	254	442	0
33	74	504	484	0
34	74	412	504	0
35	74	340	508	0
36	74	269	509	0
37	74	224	538	0
38	74	403	588	0
39	74	505	604	0
40	74	304	617	0
41	74	422	639	0
1	73	45	6	0
2	73	100	10	0
42	73	23	20	0
4	73	451	40	0
5	73	236	48	0
6	73	396	49	0
7	73	127	67	0
8	73	371	94	0
9	73	499	98	0
43	73	297	104	0
10	73	426	105	0
11	73	57	117	0
12	73	352	148	0
13	73	222	151	0
14	73	415	183	0
15	73	111	208	0
16	73	280	217	0
17	73	452	218	0
18	73	315	244	0
44	73	212	251	0
20	73	62	265	0
21	73	398	274	0
45	73	469	302	0
23	73	401	316	0
24	73	126	323	0
25	73	248	338	0
26	73	310	346	0
46	73	408	370	0
28	73	360	372	0
29	73	195	381	0
31	73	139	400	0
47	73	410	404	0
32	73	253	443	0
33	73	504	484	0
34	73	411	503	0
35	73	342	507	0
36	73	270	511	0
37	73	224	538	0
38	73	404	589	0
39	73	504	604	0
40	73	305	614	0
41	73	423	640	0
1	72	44	7	0
2	72	99	11	0
42	72	25	23	0
4	72	448	38	0
6	72	395	48	0
5	72	236	51	0
7	72	126	69	0
8	72	372	92	0
9	72	500	98	0
10	72	426	105	0
11	72	57	114	0
12	72	352	148	0
13	72	222	151	0
14	72	416	183	0
15	72	112	207	0
17	72	451	217	0
16	72	280	218	0
18	72	317	245	0
44	72	208	250	0
20	72	62	265	0
21	72	398	274	0
45	72	470	304	0
23	72	401	317	0
24	72	127	324	0
25	72	248	336	0
26	72	310	344	0
46	72	407	370	0
28	72	363	373	0
29	72	195	382	0
31	72	139	402	0
47	72	409	403	0
32	72	254	442	0
33	72	504	485	0
34	72	413	504	0
36	72	271	511	0
35	72	343	511	0
37	72	224	537	0
38	72	406	589	0
39	72	505	602	0
40	72	305	614	0
41	72	422	641	0
2	71	102	12	0
42	71	28	19	0
4	71	447	34	0
6	71	395	50	0
5	71	238	53	0
7	71	128	70	0
8	71	371	88	0
9	71	500	98	0
10	71	426	106	0
11	71	58	115	0
12	71	349	147	0
13	71	223	150	0
14	71	416	182	0
15	71	111	207	0
17	71	452	216	0
16	71	276	217	0
44	71	208	248	0
18	71	317	248	0
20	71	61	266	0
21	71	399	273	0
45	71	469	305	0
23	71	402	318	0
24	71	127	326	0
25	71	249	334	0
26	71	310	343	0
28	71	364	372	0
29	71	196	384	0
47	71	409	397	0
31	71	137	400	0
32	71	256	440	0
33	71	503	485	0
34	71	414	504	0
35	71	343	509	0
36	71	268	510	0
37	71	223	539	0
38	71	406	588	0
39	71	505	604	0
40	71	305	613	0
41	71	422	640	0
2	70	101	12	0
42	70	28	16	0
4	70	447	33	0
6	70	396	50	0
5	70	241	56	0
7	70	128	70	0
8	70	368	84	0
9	70	500	99	0
10	70	426	107	0
11	70	60	114	0
12	70	348	144	0
13	70	225	148	0
14	70	416	182	0
15	70	111	205	0
16	70	274	215	0
17	70	451	217	0
44	70	206	246	0
18	70	317	249	0
20	70	60	265	0
21	70	400	273	0
45	70	467	301	0
23	70	403	317	0
24	70	127	328	0
48	70	497	331	0
25	70	248	333	0
26	70	307	342	0
49	70	408	368	0
28	70	365	372	0
29	70	197	384	0
31	70	137	397	0
47	70	409	403	0
32	70	255	439	0
33	70	504	486	0
34	70	416	507	0
36	70	267	508	0
37	70	221	539	0
38	70	406	589	0
39	70	504	602	0
40	70	305	612	0
41	70	421	640	0
2	69	100	12	0
42	69	28	17	0
4	69	451	32	0
6	69	397	49	0
5	69	241	58	0
7	69	129	71	0
8	69	370	85	0
9	69	499	99	0
10	69	428	106	0
11	69	61	115	0
12	69	345	143	0
13	69	227	147	0
14	69	416	182	0
15	69	110	207	0
16	69	274	214	0
17	69	452	216	0
44	69	206	245	0
18	69	318	249	0
20	69	58	265	0
21	69	400	273	0
45	69	466	303	0
23	69	404	317	0
24	69	126	328	0
25	69	247	333	0
48	69	497	336	0
26	69	304	344	0
28	69	366	369	0
49	69	407	370	0
29	69	200	383	0
31	69	140	395	0
47	69	407	404	0
32	69	257	440	0
33	69	503	485	0
34	69	416	506	0
50	69	343	507	0
36	69	264	508	0
37	69	219	538	0
38	69	403	590	0
39	69	504	603	0
40	69	306	611	0
41	69	422	640	0
2	68	101	11	0
42	68	28	17	0
4	68	451	33	0
51	68	356	48	0
6	68	405	51	0
5	68	242	61	0
7	68	133	70	0
8	68	371	84	0
9	68	501	100	0
10	68	429	108	0
11	68	63	113	0
12	68	348	142	0
13	68	229	149	0
14	68	417	180	0
15	68	111	205	0
16	68	275	213	0
17	68	452	216	0
44	68	206	245	0
18	68	319	249	0
20	68	59	264	0
21	68	402	276	0
45	68	466	304	0
23	68	403	318	0
