trackID	timepoint	centroid_row	centroid_col	value
2	74	101	11	0
4	74	451	40	0
5	74	238	45	0
7	74	127	67	0
9	74	500	99	0
11	74	58	117	0
13	74	220	152	0
15	74	111	208	0
16	74	281	217	0
20	74	63	267	0
21	74	398	274	0
23	74	401	317	0
24	74	125	325	0
25	74	248	337	0
28	74	358	370	0
29	74	192	383	0
31	74	135	401	0
32	74	254	442	0
33	74	504	484	0
34	74	412	504	0
37	74	224	538	0
38	74	403	588	0
39	74	505	604	0
40	74	304	617	0
41	74	422	639	0
2	73	100	10	0
4	73	451	40	0
5	73	236	48	0
7	73	127	67	0
9	73	499	98	0
11	73	57	117	0
13	73	222	151	0
15	73	111	208	0
16	73	280	217	0
20	73	62	265	0
21	73	398	274	0
23	73	401	316	0
24	73	126	323	0
25	73	248	338	0
28	73	360	372	0
29	73	195	381	0
31	73	139	400	0
32	73	253	443	0
33	73	504	484	0
34	73	411	503	0
37	73	224	538	0
38	73	404	589	0
39	73	504	604	0
40	73	305	614	0
41	73	423	640	0
2	72	99	11	0
4	72	448	38	0
5	72	236	51	0
7	72	126	69	0
9	72	500	98	0
11	72	57	114	0
13	72	222	151	0
15	72	112	207	0
16	72	280	218	0
20	72	62	265	0
21	72	398	274	0
23	72	401	317	0
24	72	127	324	0
25	72	248	336	0
28	72	363	373	0
29	72	195	382	0
31	72	139	402	0
32	72	254	442	0
33	72	504	485	0
34	72	413	504	0
37	72	224	537	0
38	72	406	589	0
39	72	505	602	0
40	72	305	614	0
41	72	422	641	0
2	71	102	12	0
4	71	447	34	0
5	71	238	53	0
7	71	128	70	0
9	71	500	98	0
11	71	58	115	0
13	71	223	150	0
15	71	111	207	0
16	71	276	217	0
20	71	61	266	0
21	71	399	273	0
23	71	402	318	0
24	71	127	326	0
25	71	249	334	0
28	71	364	372	0
29	71	196	384	0
31	71	137	400	0
32	71	256	440	0
33	71	503	485	0
34	71	414	504	0
37	71	223	539	0
38	71	406	588	0
39	71	505	604	0
40	71	305	613	0
41	71	422	640	0
2	70	101	12	0
4	70	447	33	0
5	70	241	56	0
7	70	128	70	0
9	70	500	99	0
11	70	60	114	0
13	70	225	148	0
15	70	111	205	0
16	70	274	215	0
20	70	60	265	0
21	70	400	273	0
23	70	403	317	0
24	70	127	328	0
25	70	248	333	0
28	70	365	372	0
29	70	197	384	0
31	70	137	397	0
32	70	255	439	0
33	70	504	486	0
34	70	416	507	0
37	70	221	539	0
38	70	406	589	0
39	70	504	602	0
40	70	305	612	0
41	70	421	640	0
2	69	100	12	0
4	69	451	32	0
5	69	241	58	0
7	69	129	71	0
9	69	499	99	0
11	69	61	115	0
13	69	227	147	0
15	69	110	207	0
16	69	274	214	0
20	69	58	265	0
21	69	400	273	0
23	69	404	317	0
24	69	126	328	0
25	69	247	333	0
28	69	366	369	0
29	69	200	383	0
31	69	140	395	0
32	69	257	440	0
33	69	503	485	0
34	69	416	506	0
37	69	219	538	0
38	69	403	590	0
39	69	504	603	0
40	69	306	611	0
41	69	422	640	0
2	68	101	11	0
4	68	451	33	0
5	68	242	61	0
7	68	133	70	0
9	68	501	100	0
11	68	63	113	0
13	68	229	149	0
15	68	111	205	0
16	68	275	213	0
20	68	59	264	0
21	68	402	276	0
23	68	403	318	0
24	68	127	328	0
25	68	246	330	0
28	68	367	371	0
29	68	199	381	0
31	68	137	394	0
32	68	254	439	0
33	68	503	486	0
34	68	416	506	0
37	68	221	537	0
38	68	405	589	0
39	68	504	602	0
40	68	305	609	0
41	68	423	640	0
2	67	101	11	0
4	67	449	32	0
5	67	241	63	0
7	67	132	72	0
9	67	500	100	0
11	67	62	111	0
13	67	230	149	0
15	67	110	206	0
16	67	276	212	0
20	67	59	264	0
21	67	403	276	0
23	67	403	319	0
24	67	127	328	0
25	67	247	332	0
28	67	368	372	0
29	67	198	382	0
31	67	138	393	0
32	67	253	439	0
33	67	503	486	0
34	67	417	505	0
37	67	221	535	0
38	67	405	586	0
39	67	504	603	0
40	67	304	607	0
41	67	423	640	0
2	66	100	11	0
4	66	450	34	0
5	66	241	64	0
7	66	132	75	0
9	66	499	99	0
11	66	61	112	0
13	66	229	148	0
15	66	110	207	0
16	66	275	212	0
20	66	57	264	0
21	66	403	277	0
23	66	403	318	0
24	66	129	328	0
25	66	244	330	0
28	66	368	374	0
29	66	200	383	0
31	66	139	392	0
32	66	253	436	0
33	66	503	486	0
34	66	418	505	0
37	66	222	532	0
38	66	405	585	0
39	66	504	601	0
40	66	303	606	0
41	66	422	640	0
2	65	101	12	0
4	65	450	33	0
5	65	241	66	0
7	65	133	76	0
9	65	499	100	0
11	65	60	112	0
13	65	232	148	0
15	65	111	205	0
16	65	275	212	0
20	65	58	263	0
21	65	403	276	0
23	65	401	318	0
24	65	132	328	0
25	65	243	330	0
28	65	369	373	0
29	65	200	387	0
31	65	142	395	0
32	65	254	437	0
33	65	501	485	0
34	65	417	504	0
37	65	223	535	0
38	65	405	584	0
39	65	505	601	0
40	65	302	603	0
41	65	422	639	0
2	64	99	12	0
4	64	451	31	0
5	64	243	67	0
7	64	134	77	0
9	64	499	100	0
11	64	60	111	0
13	64	233	146	0
15	64	109	205	0
16	64	276	210	0
20	64	57	262	0
21	64	405	277	0
23	64	401	318	0
24	64	133	327	0
25	64	244	328	0
28	64	371	373	0
29	64	199	387	0
31	64	143	394	0
32	64	257	437	0
33	64	502	485	0
34	64	420	506	0
37	64	223	534	0
38	64	407	584	0
39	64	496	598	0
40	64	303	601	0
41	64	426	639	0
2	63	98	12	0
4	63	453	32	0
5	63	243	67	0
7	63	134	76	0
9	63	499	100	0
11	63	58	111	0
13	63	230	146	0
15	63	108	204	0
16	63	276	209	0
20	63	59	262	0
21	63	404	278	0
23	63	401	316	0
24	63	135	325	0
25	63	244	327	0
28	63	369	373	0
29	63	199	390	0
31	63	145	393	0
32	63	260	440	0
33	63	502	485	0
34	63	418	504	0
37	63	224	533	0
38	63	407	583	0
39	63	504	598	0
40	63	302	601	0
41	63	422	640	0
2	62	98	12	0
4	62	453	32	0
5	62	242	66	0
7	62	135	78	0
9	62	498	101	0
11	62	58	112	0
13	62	229	144	0
15	62	110	203	0
16	62	276	208	0
20	62	60	259	0
21	62	404	277	0
23	62	401	317	0
24	62	134	326	0
25	62	243	326	0
28	62	368	374	0
29	62	200	390	0
31	62	148	393	0
32	62	259	441	0
33	62	499	485	0
34	62	417	504	0
37	62	223	532	0
38	62	407	584	0
39	62	502	597	0
40	62	304	600	0
41	62	423	639	0
2	61	99	12	0
4	61	453	31	0
5	61	238	68	0
7	61	135	77	0
9	61	498	99	0
11	61	58	113	0
13	61	229	145	0
15	61	112	202	0
16	61	276	207	0
20	61	61	258	0
21	61	404	277	0
23	61	401	318	0
25	61	245	324	0
24	61	132	327	0
28	61	365	377	0
29	61	201	392	0
31	61	150	393	0
32	61	259	440	0
33	61	500	485	0
34	61	415	503	0
37	61	221	530	0
38	61	406	584	0
39	61	503	598	0
40	61	304	601	0
41	61	423	638	0
2	60	99	12	0
4	60	455	29	0
5	60	237	68	0
7	60	136	78	0
9	60	497	98	0
11	60	56	113	0
13	60	228	144	0
15	60	110	204	0
16	60	274	205	0
20	60	63	258	0
21	60	403	277	0
23	60	400	317	0
25	60	246	322	0
24	60	135	326	0
28	60	369	375	0
29	60	204	391	0
31	60	152	394	0
32	60	257	439	0
33	60	500	485	0
34	60	412	504	0
37	60	221	528	0
38	60	405	582	0
39	60	502	597	0
40	60	305	599	0
41	60	423	637	0
2	59	102	11	0
4	59	457	27	0
5	59	237	66	0
7	59	138	78	0
9	59	497	98	0
11	59	57	115	0
13	59	228	143	0
15	59	109	204	0
16	59	273	204	0
20	59	64	259	0
21	59	402	277	0
23	59	397	316	0
25	59	248	323	0
24	59	135	325	0
28	59	370	373	0
29	59	205	391	0
31	59	156	392	0
32	59	258	438	0
33	59	501	485	0
34	59	410	503	0
37	59	221	527	0
38	59	404	583	0
39	59	501	596	0
40	59	307	599	0
41	59	424	638	0
2	58	108	13	0
4	58	460	26	0
5	58	233	67	0
7	58	140	78	0
9	58	497	100	0
11	58	58	114	0
13	58	230	140	0
15	58	107	203	0
16	58	275	203	0
20	58	64	259	0
21	58	399	274	0
23	58	394	314	0
25	58	248	322	0
24	58	135	326	0
28	58	368	374	0
29	58	208	390	0
31	58	158	392	0
32	58	261	438	0
33	58	499	487	0
34	58	411	503	0
37	58	220	528	0
38	58	402	582	0
39	58	501	595	0
40	58	306	599	0
41	58	423	637	0
2	57	109	13	0
4	57	461	24	0
5	57	234	67	0
7	57	143	77	0
9	57	498	100	0
11	57	56	115	0
13	57	235	135	0
15	57	108	201	0
16	57	275	201	0
20	57	62	258	0
21	57	398	275	0
23	57	395	316	0
25	57	247	322	0
24	57	136	327	0
28	57	367	373	0
29	57	213	389	0
31	57	162	393	0
32	57	262	438	0
33	57	499	486	0
34	57	412	502	0
37	57	219	528	0
38	57	403	582	0
39	57	500	593	0
40	57	307	598	0
41	57	424	636	0
2	56	109	12	0
4	56	462	22	0
5	56	233	64	0
7	56	144	81	0
9	56	500	100	0
11	56	57	114	0
13	56	235	131	0
16	56	275	196	0
15	56	109	202	0
20	56	62	258	0
21	56	397	275	0
23	56	393	315	0
25	56	248	321	0
24	56	135	327	0
28	56	365	373	0
29	56	212	386	0
31	56	162	391	0
32	56	263	436	0
33	56	498	484	0
34	56	409	501	0
37	56	218	528	0
38	56	403	582	0
39	56	499	594	0
40	56	307	598	0
41	56	423	634	0
2	55	104	13	0
4	55	465	21	0
5	55	232	64	0
7	55	146	82	0
9	55	501	101	0
11	55	57	112	0
13	55	235	128	0
16	55	274	195	0
15	55	108	199	0
20	55	64	256	0
21	55	395	274	0
23	55	392	315	0
25	55	249	318	0
24	55	135	328	0
28	55	367	374	0
29	55	212	385	0
31	55	164	387	0
32	55	260	437	0
33	55	499	485	0
34	55	407	500	0
37	55	217	529	0
38	55	402	583	0
39	55	498	592	0
40	55	306	597	0
41	55	424	635	0
2	54	104	13	0
4	54	466	20	0
5	54	231	63	0
7	54	151	82	0
9	54	500	99	0
11	54	55	113	0
13	54	233	125	0
16	54	274	195	0
15	54	105	197	0
20	54	64	256	0
21	54	394	271	0
23	54	392	312	0
25	54	249	318	0
24	54	134	328	0
28	54	370	366	0
31	54	165	389	0
29	54	216	390	0
32	54	263	437	0
33	54	499	485	0
34	54	406	500	0
37	54	216	529	0
38	54	401	585	0
39	54	497	592	0
40	54	304	597	0
41	54	424	634	0
2	53	104	13	0
4	53	467	18	0
5	53	230	63	0
7	53	152	83	0
9	53	499	99	0
11	53	55	114	0
13	53	233	121	0
16	53	271	193	0
15	53	106	196	0
20	53	65	256	0
21	53	395	274	0
23	53	391	313	0
25	53	248	317	0
24	53	134	329	0
28	53	372	365	0
31	53	166	390	0
29	53	217	390	0
32	53	264	437	0
33	53	497	487	0
34	53	406	500	0
37	53	214	530	0
38	53	400	586	0
39	53	496	591	0
40	53	305	596	0
41	53	424	635	0
2	52	104	14	0
4	52	469	18	0
5	52	230	63	0
7	52	155	86	0
9	52	498	98	0
11	52	54	114	0
13	52	235	117	0
16	52	272	193	0
15	52	106	194	0
20	52	65	256	0
21	52	396	273	0
23	52	391	312	0
25	52	251	318	0
24	52	133	329	0
28	52	370	362	0
31	52	168	389	0
29	52	220	391	0
32	52	266	438	0
33	52	498	485	0
34	52	405	499	0
37	52	214	531	0
38	52	399	585	0
39	52	496	592	0
40	52	306	595	0
41	52	425	634	0
2	51	101	15	0
4	51	470	18	0
5	51	230	63	0
7	51	154	86	0
9	51	498	99	0
11	51	53	113	0
13	51	232	117	0
16	51	273	191	0
15	51	104	194	0
20	51	65	255	0
21	51	390	270	0
23	51	389	313	0
25	51	253	318	0
24	51	131	327	0
28	51	369	361	0
31	51	169	388	0
29	51	223	391	0
32	51	263	439	0
33	51	497	485	0
34	51	404	499	0
37	51	216	532	0
38	51	397	584	0
39	51	496	591	0
40	51	305	595	0
41	51	425	631	0
2	50	99	16	0
4	50	474	17	0
5	50	233	59	0
7	50	151	85	0
9	50	500	97	0
11	50	55	112	0
13	50	233	116	0
16	50	273	190	0
15	50	101	194	0
20	50	65	255	0
21	50	389	266	0
23	50	388	312	0
25	50	254	319	0
24	50	131	327	0
28	50	367	361	0
31	50	171	387	0
29	50	225	389	0
32	50	263	439	0
33	50	496	485	0
34	50	404	500	0
37	50	217	532	0
38	50	397	585	0
39	50	495	591	0
40	50	306	594	0
41	50	427	631	0
4	49	477	15	0
2	49	97	16	0
5	49	230	59	0
7	49	150	86	0
9	49	500	95	0
11	49	57	112	0
13	49	234	114	0
16	49	273	189	0
15	49	96	192	0
20	49	68	254	0
21	49	389	266	0
23	49	389	313	0
25	49	254	319	0
24	49	131	326	0
28	49	364	366	0
31	49	171	388	0
29	49	226	390	0
32	49	269	437	0
33	49	496	484	0
34	49	403	501	0
37	49	217	533	0
38	49	397	586	0
39	49	494	591	0
40	49	304	593	0
41	49	427	630	0
4	48	477	15	0
2	48	97	17	0
5	48	231	58	0
7	48	150	85	0
9	48	501	95	0
11	48	56	113	0
13	48	233	113	0
16	48	273	187	0
15	48	95	193	0
20	48	69	251	0
21	48	387	262	0
23	48	388	317	0
25	48	254	320	0
24	48	131	326	0
28	48	360	370	0
31	48	174	384	0
29	48	226	390	0
32	48	276	437	0
33	48	495	486	0
34	48	404	503	0
37	48	218	535	0
38	48	397	586	0
39	48	493	591	0
40	48	304	593	0
41	48	427	631	0
4	47	478	16	0
2	47	95	18	0
5	47	230	58	0
7	47	148	86	0
9	47	501	94	0
11	47	57	111	0
13	47	232	111	0
16	47	273	186	0
15	47	95	194	0
20	47	71	250	0
21	47	387	261	0
25	47	252	319	0
23	47	385	319	0
24	47	132	326	0
28	47	356	373	0
31	47	175	384	0
29	47	226	390	0
32	47	279	437	0
33	47	495	485	0
34	47	404	504	0
37	47	219	535	0
38	47	398	586	0
39	47	492	590	0
40	47	304	592	0
41	47	429	632	0
4	46	478	17	0
2	46	96	18	0
5	46	229	58	0
7	46	146	86	0
9	46	502	94	0
13	46	236	108	0
11	46	57	111	0
16	46	273	189	0
15	46	94	195	0
20	46	71	250	0
21	46	389	261	0
23	46	385	318	0
25	46	253	320	0
24	46	132	325	0
28	46	356	372	0
31	46	176	382	0
29	46	224	389	0
32	46	278	438	0
33	46	494	484	0
34	46	403	505	0
37	46	221	533	0
38	46	397	587	0
39	46	490	588	0
40	46	304	592	0
41	46	429	633	0
2	45	96	17	0
4	45	480	17	0
5	45	230	57	0
7	45	147	83	0
9	45	502	94	0
13	45	236	106	0
11	45	55	111	0
16	45	271	191	0
15	45	97	195	0
20	45	73	249	0
21	45	391	260	0
25	45	256	319	0
23	45	384	320	0
24	45	132	321	0
28	45	353	377	0
31	45	174	381	0
29	45	223	386	0
32	45	279	439	0
33	45	493	484	0
34	45	401	507	0
37	45	222	534	0
38	45	395	587	0
39	45	490	587	0
40	45	305	590	0
41	45	428	631	0
4	44	481	17	0
2	44	97	18	0
5	44	231	57	0
7	44	145	84	0
9	44	502	94	0
13	44	238	108	0
11	44	56	109	0
16	44	270	188	0
15	44	97	196	0
20	44	75	251	0
21	44	390	259	0
24	44	133	320	0
25	44	259	321	0
23	44	381	321	0
31	44	175	378	0
28	44	352	381	0
29	44	225	383	0
32	44	280	438	0
33	44	493	484	0
34	44	400	509	0
37	44	224	534	0
39	44	488	585	0
38	44	394	587	0
40	44	305	590	0
41	44	427	631	0
4	43	479	17	0
2	43	92	21	0
5	43	231	57	0
7	43	144	84	0
9	43	502	95	0
11	43	55	110	0
13	43	240	110	0
16	43	271	187	0
15	43	96	196	0
20	43	75	249	0
21	43	389	258	0
25	43	262	319	0
24	43	135	321	0
23	43	377	323	0
31	43	178	375	0
29	43	228	381	0
28	43	346	384	0
32	43	281	438	0
33	43	492	484	0
34	43	398	509	0
37	43	225	534	0
39	43	488	584	0
40	43	304	588	0
38	43	392	589	0
41	43	426	631	0
4	42	481	17	0
2	42	86	20	0
5	42	232	56	0
7	42	144	83	0
9	42	502	96	0
11	42	55	110	0
13	42	238	110	0
16	42	271	189	0
15	42	97	197	0
20	42	74	249	0
21	42	388	255	0
25	42	266	316	0
24	42	136	319	0
23	42	372	324	0
31	42	178	373	0
29	42	232	379	0
28	42	343	386	0
32	42	280	436	0
33	42	492	485	0
34	42	397	508	0
37	42	226	533	0
39	42	486	582	0
40	42	303	587	0
38	42	391	590	0
41	42	425	632	0
4	41	484	18	0
2	41	79	20	0
5	41	229	56	0
7	41	144	84	0
9	41	502	96	0
11	41	58	109	0
13	41	235	112	0
16	41	271	191	0
15	41	99	198	0
20	41	73	247	0
21	41	388	254	0
25	41	271	313	0
24	41	134	316	0
23	41	369	322	0
31	41	179	371	0
29	41	234	375	0
28	41	339	383	0
32	41	280	436	0
33	41	492	486	0
34	41	396	509	0
37	41	229	533	0
39	41	485	582	0
40	41	303	587	0
38	41	391	591	0
41	41	425	632	0
4	40	484	19	0
2	40	80	22	0
5	40	231	55	0
7	40	142	82	0
9	40	501	97	0
11	40	59	108	0
13	40	232	116	0
16	40	269	192	0
15	40	99	196	0
20	40	76	246	0
21	40	388	252	0
25	40	271	310	0
24	40	133	314	0
23	40	366	320	0
31	40	181	369	0
29	40	237	372	0
28	40	336	382	0
32	40	276	436	0
33	40	492	485	0
34	40	396	509	0
37	40	230	535	0
39	40	484	581	0
40	40	302	586	0
38	40	391	591	0
41	40	423	632	0
4	39	483	22	0
2	39	81	26	0
5	39	230	56	0
7	39	142	83	0
9	39	503	93	0
11	39	61	108	0
13	39	232	118	0
16	39	267	193	0
15	39	102	197	0
20	39	75	244	0
21	39	389	250	0
25	39	273	308	0
24	39	134	315	0
23	39	365	318	0
31	39	186	365	0
29	39	239	370	0
28	39	333	379	0
32	39	274	436	0
33	39	490	484	0
34	39	395	508	0
37	39	232	535	0
39	39	482	582	0
40	39	303	584	0
38	39	391	592	0
41	39	422	633	0
4	38	482	24	0
2	38	80	30	0
5	38	232	56	0
7	38	141	83	0
9	38	502	99	0
11	38	63	106	0
13	38	232	121	0
16	38	265	191	0
15	38	104	196	0
20	38	76	244	0
21	38	390	248	0
25	38	274	305	0
24	38	135	312	0
23	38	363	316	0
31	38	189	362	0
29	38	240	368	0
28	38	331	376	0
32	38	274	437	0
33	38	490	485	0
34	38	396	508	0
37	38	233	536	0
39	38	480	582	0
40	38	303	584	0
38	38	390	591	0
41	38	421	634	0
4	37	481	30	0
2	37	77	36	0
5	37	232	56	0
7	37	142	86	0
9	37	503	103	0
11	37	62	108	0
13	37	233	118	0
16	37	265	188	0
15	37	106	197	0
20	37	79	245	0
21	37	390	246	0
25	37	273	305	0
24	37	135	310	0
23	37	361	312	0
31	37	188	359	0
29	37	241	367	0
28	37	329	371	0
32	37	270	437	0
33	37	490	486	0
34	37	394	508	0
37	37	233	536	0
39	37	477	583	0
40	37	303	586	0
38	37	389	591	0
41	37	420	635	0
4	36	481	37	0
2	36	73	40	0
5	36	233	56	0
7	36	140	85	0
9	36	503	103	0
11	36	63	108	0
13	36	233	116	0
16	36	261	186	0
15	36	109	196	0
20	36	80	246	0
21	36	390	246	0
25	36	274	304	0
24	36	135	308	0
23	36	359	308	0
31	36	189	356	0
29	36	240	366	0
28	36	327	366	0
32	36	270	436	0
33	36	489	486	0
34	36	392	507	0
37	36	234	536	0
39	36	474	581	0
40	36	303	586	0
38	36	391	592	0
41	36	419	635	0
4	35	483	42	0
2	35	68	46	0
5	35	235	55	0
7	35	140	87	0
9	35	504	104	0
11	35	64	112	0
13	35	234	115	0
16	35	262	178	0
15	35	110	198	0
21	35	390	246	0
20	35	80	248	0
25	35	275	301	0
24	35	136	306	0
23	35	358	306	0
31	35	188	356	0
28	35	327	362	0
29	35	241	364	0
32	35	271	435	0
33	35	490	485	0
34	35	391	506	0
37	35	232	533	0
39	35	473	579	0
40	35	305	585	0
38	35	392	593	0
41	35	419	634	0
4	34	486	45	0
2	34	64	53	0
5	34	233	56	0
7	34	138	88	0
9	34	503	106	0
13	34	230	114	0
11	34	63	116	0
16	34	258	173	0
15	34	112	198	0
21	34	391	244	0
20	34	81	247	0
25	34	276	298	0
23	34	358	302	0
24	34	135	305	0
31	34	188	355	0
28	34	328	356	0
29	34	240	360	0
32	34	273	435	0
33	34	490	485	0
34	34	390	505	0
37	34	231	530	0
39	34	472	578	0
40	34	305	584	0
38	34	390	592	0
41	34	418	634	0
4	33	486	49	0
2	33	63	56	0
5	33	234	57	0
7	33	138	88	0
9	33	503	108	0
13	33	230	113	0
11	33	63	116	0
16	33	253	169	0
15	33	116	197	0
21	33	392	243	0
20	33	81	246	0
25	33	278	298	0
23	33	356	300	0
24	33	136	304	0
31	33	189	353	0
29	33	235	356	0
28	33	318	358	0
32	33	272	432	0
33	33	489	486	0
34	33	389	506	0
37	33	231	527	0
39	33	473	576	0
40	33	305	583	0
38	33	389	593	0
41	33	416	635	0
4	32	486	50	0
2	32	58	59	0
5	32	233	59	0
7	32	135	83	0
9	32	503	109	0
13	32	229	113	0
11	32	65	116	0
16	32	252	163	0
15	32	117	197	0
21	32	390	235	0
20	32	80	244	0
25	32	276	296	0
23	32	355	296	0
24	32	136	303	0
31	32	190	349	0
29	32	238	354	0
28	32	317	354	0
32	32	277	432	0
33	32	489	486	0
34	32	388	506	0
37	32	233	523	0
39	32	468	575	0
40	32	306	581	0
38	32	392	593	0
41	32	415	636	0
4	31	485	49	0
2	31	58	59	0
5	31	234	60	0
7	31	138	89	0
9	31	503	111	0
13	31	228	114	0
11	31	65	118	0
16	31	253	163	0
15	31	116	195	0
21	31	393	236	0
20	31	77	240	0
23	31	353	290	0
25	31	276	293	0
24	31	135	304	0
31	31	190	347	0
28	31	316	347	0
29	31	240	354	0
32	31	277	431	0
33	31	489	488	0
34	31	387	505	0
37	31	232	519	0
39	31	466	574	0
40	31	307	580	0
38	31	395	594	0
41	31	414	636	0
4	30	485	50	0
2	30	57	62	0
5	30	234	62	0
7	30	137	89	0
9	30	502	110	0
13	30	228	115	0
11	30	64	122	0
16	30	253	158	0
15	30	118	195	0
21	30	388	238	0
20	30	78	239	0
23	30	353	285	0
25	30	276	292	0
24	30	135	301	0
31	30	191	340	0
28	30	316	345	0
29	30	242	356	0
32	30	278	431	0
33	30	489	486	0
34	30	385	508	0
37	30	234	516	0
39	30	466	573	0
40	30	309	582	0
38	30	396	595	0
41	30	413	636	0
4	29	484	50	0
5	29	229	60	0
