channel_name	filename	group_label	position_label	binning	channel_number	continuous_focus_offset	continuous_focus_bool	exposure	group_number	group_order	matlab_serial_date_number	position_number	position_order	settings_number	settings_order	timepoint	x	y	z	z_order
Cy5_5	group1_pos4_x4_y1USA_s4_w2Cy5_5_t1_z1.tiff	group1	pos4_x4_y1	2	2	186.25	1	1100	1	1	735821.6756	4	4	1	1	1	18583	53099	4192.075062	1
YFP	group1_pos4_x4_y1USA_s4_w7YFP_t1_z1.tiff	group1	pos4_x4_y1	2	7	186.25	1	400	1	1	735821.6756	4	4	2	2	1	18583	53099	4192.075062	1
Cy5_5	group1_pos4_x4_y1USA_s4_w2Cy5_5_t2_z1.tiff	group1	pos4_x4_y1	2	2	186.25	1	1100	1	1	735821.688	4	4	1	1	2	18583	53099	4195.625063	1
YFP	group1_pos4_x4_y1USA_s4_w7YFP_t2_z1.tiff	group1	pos4_x4_y1	2	7	186.25	1	400	1	1	735821.688	4	4	2	2	2	18583	53099	4195.625063	1
Cy5_5	group1_pos4_x4_y1USA_s4_w2Cy5_5_t3_z1.tiff	group1	pos4_x4_y1	2	2	186.25	1	1100	1	1	735821.7004	4	4	1	1	3	18583	53099	4195.325063	1
YFP	group1_pos4_x4_y1USA_s4_w7YFP_t3_z1.tiff	group1	pos4_x4_y1	2	7	186.25	1	400	1	1	735821.7004	4	4	2	2	3	18583	53099	4195.325063	1
Cy5_5	group1_pos4_x4_y1USA_s4_w2Cy5_5_t4_z1.tiff	group1	pos4_x4_y1	2	2	186.25	1	1100	1	1	735821.7128	4	4	1	1	4	18583	53099	4194.975063	1
YFP	group1_pos4_x4_y1USA_s4_w7YFP_t4_z1.tiff	group1	pos4_x4_y1	2	7	186.25	1	400	1	1	735821.7128	4	4	2	2	4	18583	53099	4194.975063	1
Cy5_5	group1_pos4_x4_y1USA_s4_w2Cy5_5_t5_z1.tiff	group1	pos4_x4_y1	2	2	186.25	1	1100	1	1	735821.7252	4	4	1	1	5	18583	53099	4194.300062	1
YFP	group1_pos4_x4_y1USA_s4_w7YFP_t5_z1.tiff	group1	pos4_x4_y1	2	7	186.25	1	400	1	1	735821.7253	4	4	2	2	5	18583	53099	4194.300062	1
Cy5_5	group1_pos4_x4_y1USA_s4_w2Cy5_5_t6_z1.tiff	group1	pos4_x4_y1	2	2	186.25	1	1100	1	1	735821.7377	4	4	1	1	6	18583	53099	4194.400063	1
YFP	group1_pos4_x4_y1USA_s4_w7YFP_t6_z1.tiff	group1	pos4_x4_y1	2	7	186.25	1	400	1	1	735821.7377	4	4	2	2	6	18583	53099	4194.400063	1
Cy5_5	group1_pos4_x4_y1USA_s4_w2Cy5_5_t7_z1.tiff	group1	pos4_x4_y1	2	2	186.25	1	1100	1	1	735821.7502	4	4	1	1	7	18583	53099	4194.300062	1
YFP	group1_pos4_x4_y1USA_s4_w7YFP_t7_z1.tiff	group1	pos4_x4_y1	2	7	186.25	1	400	1	1	735821.7502	4	4	2	2	7	18583	53099	4194.300062	1
Cy5_5	group1_pos4_x4_y1USA_s4_w2Cy5_5_t8_z1.tiff	group1	pos4_x4_y1	2	2	186.25	1	1100	1	1	735821.7628	4	4	1	1	8	18583	53099	4194.325063	1
YFP	group1_pos4_x4_y1USA_s4_w7YFP_t8_z1.tiff	group1	pos4_x4_y1	2	7	186.25	1	400	1	1	735821.7628	4	4	2	2	8	18583	53099	4194.325063	1
Cy5_5	group1_pos4_x4_y1USA_s4_w2Cy5_5_t9_z1.tiff	group1	pos4_x4_y1	2	2	186.25	1	1100	1	1	735821.7752	4	4	1	1	9	18583	53099	4194.325063	1
YFP	group1_pos4_x4_y1USA_s4_w7YFP_t9_z1.tiff	group1	pos4_x4_y1	2	7	186.25	1	400	1	1	735821.7753	4	4	2	2	9	18583	53099	4194.325063	1
Cy5_5	group1_pos4_x4_y1USA_s4_w2Cy5_5_t10_z1.tiff	group1	pos4_x4_y1	2	2	186.25	1	1100	1	1	735821.7877	4	4	1	1	10	18583	53099	4194.150062	1
YFP	group1_pos4_x4_y1USA_s4_w7YFP_t10_z1.tiff	group1	pos4_x4_y1	2	7	186.25	1	400	1	1	735821.7878	4	4	2	2	10	18583	53099	4194.150062	1
Cy5_5	group1_pos4_x4_y1USA_s4_w2Cy5_5_t11_z1.tiff	group1	pos4_x4_y1	2	2	186.25	1	1100	1	1	735821.8002	4	4	1	1	11	18583	53099	4194.175062	1
YFP	group1_pos4_x4_y1USA_s4_w7YFP_t11_z1.tiff	group1	pos4_x4_y1	2	7	186.25	1	400	1	1	735821.8003	4	4	2	2	11	18583	53099	4194.175062	1
Cy5_5	group1_pos4_x4_y1USA_s4_w2Cy5_5_t12_z1.tiff	group1	pos4_x4_y1	2	2	186.25	1	1100	1	1	735821.8128	4	4	1	1	12	18583	53099	4194.300062	1
YFP	group1_pos4_x4_y1USA_s4_w7YFP_t12_z1.tiff	group1	pos4_x4_y1	2	7	186.25	1	400	1	1	735821.8128	4	4	2	2	12	18583	53099	4194.300062	1
Cy5_5	group1_pos4_x4_y1USA_s4_w2Cy5_5_t13_z1.tiff	group1	pos4_x4_y1	2	2	186.25	1	1100	1	1	735821.8254	4	4	1	1	13	18583	53099	4193.875062	1
YFP	group1_pos4_x4_y1USA_s4_w7YFP_t13_z1.tiff	group1	pos4_x4_y1	2	7	186.25	1	400	1	1	735821.8254	4	4	2	2	13	18583	53099	4193.875062	1
Cy5_5	group1_pos4_x4_y1USA_s4_w2Cy5_5_t14_z1.tiff	group1	pos4_x4_y1	2	2	186.25	1	1100	1	1	735821.8378	4	4	1	1	14	18583	53099	4194.125062	1
YFP	group1_pos4_x4_y1USA_s4_w7YFP_t14_z1.tiff	group1	pos4_x4_y1	2	7	186.25	1	400	1	1	735821.8378	4	4	2	2	14	18583	53099	4194.125062	1
Cy5_5	group1_pos4_x4_y1USA_s4_w2Cy5_5_t15_z1.tiff	group1	pos4_x4_y1	2	2	186.25	1	1100	1	1	735821.8505	4	4	1	1	15	18583	53099	4194.150062	1
YFP	group1_pos4_x4_y1USA_s4_w7YFP_t15_z1.tiff	group1	pos4_x4_y1	2	7	186.25	1	400	1	1	735821.8505	4	4	2	2	15	18583	53099	4194.150062	1
Cy5_5	group1_pos4_x4_y1USA_s4_w2Cy5_5_t16_z1.tiff	group1	pos4_x4_y1	2	2	186.25	1	1100	1	1	735821.8629	4	4	1	1	16	18583	53099	4194.000062	1
YFP	group1_pos4_x4_y1USA_s4_w7YFP_t16_z1.tiff	group1	pos4_x4_y1	2	7	186.25	1	400	1	1	735821.863	4	4	2	2	16	18583	53099	4194.000062	1
Cy5_5	group1_pos4_x4_y1USA_s4_w2Cy5_5_t17_z1.tiff	group1	pos4_x4_y1	2	2	186.25	1	1100	1	1	735821.8754	4	4	1	1	17	18583	53099	4194.150062	1
YFP	group1_pos4_x4_y1USA_s4_w7YFP_t17_z1.tiff	group1	pos4_x4_y1	2	7	186.25	1	400	1	1	735821.8754	4	4	2	2	17	18583	53099	4194.150062	1
Cy5_5	group1_pos4_x4_y1USA_s4_w2Cy5_5_t18_z1.tiff	group1	pos4_x4_y1	2	2	186.25	1	1100	1	1	735821.8879	4	4	1	1	18	18583	53099	4193.975062	1
YFP	group1_pos4_x4_y1USA_s4_w7YFP_t18_z1.tiff	group1	pos4_x4_y1	2	7	186.25	1	400	1	1	735821.8879	4	4	2	2	18	18583	53099	4193.975062	1
Cy5_5	group1_pos4_x4_y1USA_s4_w2Cy5_5_t19_z1.tiff	group1	pos4_x4_y1	2	2	186.25	1	1100	1	1	735821.9005	4	4	1	1	19	18583	53099	4193.975062	1
YFP	group1_pos4_x4_y1USA_s4_w7YFP_t19_z1.tiff	group1	pos4_x4_y1	2	7	186.25	1	400	1	1	735821.9005	4	4	2	2	19	18583	53099	4193.975062	1
Cy5_5	group1_pos4_x4_y1USA_s4_w2Cy5_5_t20_z1.tiff	group1	pos4_x4_y1	2	2	186.25	1	1100	1	1	735821.9129	4	4	1	1	20	18583	53099	4194.000062	1
