channel_name	filename	group_label	position_label	binning	channel_number	continuous_focus_offset	continuous_focus_bool	exposure	group_number	group_order	matlab_serial_date_number	position_number	position_order	settings_number	settings_order	timepoint	x	y	z	z_order	image_description
Cy5_5	group1_s1Cy5_5_0_w2Cy5_5_t1_z1.tiff	group1	Cy5_5_0	2	2	287.125	1	0	1	1	735821.663424086	1	1	1	1	1	14529	11699	4107.4250612054	1	
Cy5_5	group1_s2Cy5_5_50_w2Cy5_5_t1_z1.tiff	group1	Cy5_5_50	2	2	287.125	1	50	1	1	735821.663454942	2	2	2	1	1	17591	11864	4075.17506072484	1	
Cy5_5	group1_s3Cy5_5_100_w2Cy5_5_t1_z1.tiff	group1	Cy5_5_100	2	2	287.125	1	100	1	1	735821.663480706	3	3	3	1	1	20652	12030	4046.37506029569	1	
Cy5_5	group1_s4Cy5_5_150_w2Cy5_5_t1_z1.tiff	group1	Cy5_5_150	2	2	287.125	1	150	1	1	735821.663507882	4	4	4	1	1	23714	12195	4020.77505991422	1	
Cy5_5	group1_s5Cy5_5_200_w2Cy5_5_t1_z1.tiff	group1	Cy5_5_200	2	2	287.125	1	200	1	1	735821.663536632	5	5	5	1	1	26775	12360	3997.27505956404	1	
Cy5_5	group1_s6Cy5_5_300_w2Cy5_5_t1_z1.tiff	group1	Cy5_5_300	2	2	287.125	1	300	1	1	735821.663567315	6	6	6	1	1	26665	14401	3983.82505936362	1	
Cy5_5	group1_s7Cy5_5_400_w2Cy5_5_t1_z1.tiff	group1	Cy5_5_400	2	2	287.125	1	400	1	1	735821.663596875	7	7	7	1	1	23603	14236	4006.2250596974	1	
Cy5_5	group1_s8Cy5_5_500_w2Cy5_5_t1_z1.tiff	group1	Cy5_5_500	2	2	287.125	1	500	1	1	735821.66362787	8	8	8	1	1	20542	14071	4031.55006007478	1	
Cy5_5	group1_s9Cy5_5_600_w2Cy5_5_t1_z1.tiff	group1	Cy5_5_600	2	2	287.125	1	600	1	1	735821.663659132	9	9	9	1	1	17481	13905	4060.55006050691	1	
Cy5_5	group1_s10Cy5_5_700_w2Cy5_5_t1_z1.tiff	group1	Cy5_5_700	2	2	287.125	1	700	1	1	735821.663693935	10	10	10	1	1	14419	13740	4092.82506098785	1	
Cy5_5	group1_s11Cy5_5_800_w2Cy5_5_t1_z1.tiff	group1	Cy5_5_800	2	2	287.125	1	800	1	1	735821.663730243	11	11	11	1	1	14309	15781	4079.72506079264	1	
